ward,year,category,location,cost,geometry_type,grammar
3,2025,Street Resurfacing,ON S FORRESTVILLE AVE FROM E 47TH ST (4700 S) TO E 48TH ST,79082.95,line,street_segment
3,2025,Street Resurfacing,ON S PRAIRIE AVE FROM E 49TH ST (4900 S) TO E 51ST ST,135422.52,line,street_segment
3,2025,Street Resurfacing,ON S WABASH AVE FROM E 44TH ST (4400 S) TO E 46TH ST,212839.32,line,street_segment
3,2025,Street Resurfacing,ON W 24TH ST FROM S STATE ST (0 E) TO S MICHIGAN AVE,87912.76,line,street_segment
3,2025,Street Resurfacing,ON W 29TH ST FROM S DEARBORN ST (40 W) TO S FEDERAL ST,27392.41,line,street_segment
3,2025,Street Resurfacing,ON W 30TH ST FROM S STATE ST (0 E) TO S FEDERAL ST,85612.3,line,street_segment
3,2025,Street Speed Hump,ON S PRAIRIE AVE FROM E 38TH ST (3799 S) TO E PERSHING RD,4880.0,line,street_segment
3,2025,Street Speed Hump,ON W 35TH PL FROM S STATE ST (1 W) TO S FEDERAL ST,4880.0,line,street_segment
3,2025,Street Speed Hump,ON W 36TH ST FROM S STATE ST (1 W) TO S FEDERAL ST,4880.0,line,street_segment
3,2025,Street Speed Hump,ON W ROOT ST FROM S STATE ST (0 E) TO S DEARBORN ST,2440.0,line,street_segment
3,2025,Street Speed Hump,ON W SWANN ST FROM S WENTWORTH AVE (232 W) TO S PRINCETON AVE,2440.0,line,street_segment
3,2025,Unknown,MENU BUDGET,1500000.0,unknown,unresolvable_text
3,2025,Unknown,WARD COMMITTED 2025 TOTAL,1486036.12,unknown,unresolvable_text
3,2025,Unknown,WARD 2025 BALANCE,13963.88,unknown,unresolvable_text
3,2025,Alley Apron,4715 S LANGLEY AVE,14526.92,unknown,single_address
3,2025,Alley Resurfacing,E 43RD ST & S COTTAGE GROVE AVE&S DREXEL BLVD & E 44TH ST,92628.08,polygon,alley_block_polygon
3,2025,Arterial Street Bump Outs,E PERSHING RD & S RHODES AVE,60000.0,point,intersection
3,2025,Concrete Alley,S ELLIS AVE & E 45TH ST&E 46TH ST & S GREENWOOD AVE,10795.0,polygon,alley_block_polygon
3,2025,Curb & Gutter,4306 S ELLIS AVE,334020.17,unknown,single_address
3,2025,Curb & Gutter,E 49TH ST & S BLACKSTONE AVE,113791.93,point,intersection
3,2025,Curb & Gutter,E 50TH ST & S BLACKSTONE AVE,187425.25,point,intersection
3,2025,Unknown,Miscellaneous CDOT Projects (2025) 4220 S BERKELEY AVE,150.0,unknown,unresolvable_text
3,2025,Unknown,Miscellaneous CDOT Projects (2025) E OAKWOOD BLVD & S LSD OAKWOOD BL ER,548.23,point,intersection
3,2025,Unknown,Miscellaneous CDOT Projects (2025) ON S DREXEL BLVD FROM E 43RD ST (4300 S) TO E HYDE PARK BLVD,24000.0,line,street_segment
3,2025,Pavement Markings,Pavement Markings Menu (2025) 3600 S DR MARTIN LUTHER KING JR DR,7000.0,unknown,unresolvable_text
3,2025,Sidewalk,4832 S DORCHESTER AVE,30000.0,unknown,single_address
3,2025,Street Light Pole Painting,ON S DR MARTIN LUTHER KING JR DR FROM E 32ND ST (3198 S) TO E 35TH ST,21167.59,line,street_segment
3,2025,Street Resurfacing,ON E 53RD ST FROM S KIMBARK AVE (1300 E) TO S WOODLAWN AVE,74173.21,line,street_segment
3,2025,Street Resurfacing,ON S KENWOOD AVE FROM E HYDE PARK BLVD (5100 S) TO E 52ND ST,46509.29,line,street_segment
3,2025,Street Resurfacing,ON S ST LAWRENCE AVE FROM E 41ST ST (4100 S) TO E BOWEN AVE,19056.1,line,street_segment
3,2025,Street Resurfacing,ON S WOODLAWN AVE FROM E 47TH ST (4700 S) TO E 53RD ST,230775.46,line,street_segment
3,2025,Street Resurfacing,ON S WOODLAWN AVE FROM E 49TH ST (4900 S) TO E 50TH ST,94984.25,line,street_segment
4,2025,Street Speed Hump,ON E 44TH ST FROM S EVANS AVE (720 E) TO S COTTAGE GROVE AVE,2440.0,line,street_segment
4,2025,Street Speed Hump,ON E 45TH ST FROM S COTTAGE GROVE AVE (800 E) TO S ELLIS AVE,7320.0,line,street_segment
4,2025,Street Speed Hump,ON E 45TH ST FROM S ELLIS AVE (1000 E) TO S WOODLAWN AVE,9760.0,line,street_segment
4,2025,Street Speed Hump,ON E 48TH ST FROM S ST LAWRENCE AVE (600 E) TO S CHAMPLAIN AVE,2440.0,line,street_segment
4,2025,Street Speed Hump,ON E 49TH ST FROM S KIMBARK AVE (1300 E) TO S DORCHESTER AVE,4880.0,line,street_segment
